Airline,Destination airport,Origin airport,Route Details,Dest Latitude,Dest Longitude,Origin Latitude,Origin Longitude
DL,DCA,JFK,JFK-DCA,40.3823,-73.4644,38.517,-77.215
DL,DCA,LAX,LAX-DCA,33.5633,-118.2429,38.517,-77.215
DL,DCA,LGA,LGA-DCA,40.4638,-73.5221,38.517,-77.215
DL,DCA,MEM,MEM-DCA,35.232,-89.5836,38.517,-77.215
DL,DCA,MSN,MSN-DCA,43.823,-89.2015,38.517,-77.215
DL,DCA,MSP,MSP-DCA,44.5249,-93.13,38.517,-77.215
DL,DCA,OMA,OMA-DCA,41.189,-95.5337,38.517,-77.215
DL,DCA,SLC,SLC-DCA,40.4718,-111.5839,38.517,-77.215
DL,DEN,ATL,ATL-DEN,33.3825,-84.2537,39.513,-104.401
DL,DEN,CVG,CVG-DEN,39.246,-84.3943,39.513,-104.401
DL,DEN,DTW,DTW-DEN,42.1244,-83.2112,39.513,-104.401
DL,DEN,JFK,JFK-DEN,40.3823,-73.4644,39.513,-104.401
DL,DEN,LGA,LGA-DEN,40.4638,-73.5221,39.513,-104.401
DL,DEN,MEM,MEM-DEN,35.232,-89.5836,39.513,-104.401
